pdf,is_text_pdf,extracted_triplet,manifest_batch12,phase1_chunk,profile,status,detected_chapters,detected_appendices
TSR Inc - AD&D 2nd Edition - PHBR05 - The Complete Psionics Handbook.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - PHBR06 - The Complete Book of Dwarves.pdf,false,true,true,true,true,merge_ready,2,0
TSR Inc - AD&D 2nd Edition - PHBR07 - The Complete Bard's Handbook.pdf,false,true,true,true,true,merge_ready,3,0
TSR Inc - AD&D 2nd Edition - PHBR08 - The Complete Book of Elves.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - PHBR09 - The Complete Book of Gnomes and Halflings.pdf,false,true,true,true,true,merge_ready,8,0
TSR Inc - AD&D 2nd Edition - PHBR10 - The Complete Book of Humanoids.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - PHBR10 - The Complete Book of Humanoids_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - PHBR11 - The Complete Ranger's Handbook.pdf,false,true,true,true,true,merge_ready,5,0
TSR Inc - AD&D 2nd Edition - PHBR12 - The Complete Paladin's Handbook.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - PHBR12 - The Complete Paladin's Handbook_text.pdf,true,true,true,true,true,merge_ready,9,0
TSR Inc - AD&D 2nd Edition - PHBR13 - The Complete Druid's Handbook.pdf,false,true,true,true,true,merge_ready,13,0
TSR Inc - AD&D 2nd Edition - PHBR14 - The Complete Barbarian's Handbook.pdf,false,true,true,true,true,merge_ready,4,0
TSR Inc - AD&D 2nd Edition - PHBR15 - The Complete Ninja's Handbook.pdf,false,true,true,true,true,merge_ready,15,0
TSR Inc - AD&D 2nd Edition - Player's Option - Combat & Tactics.pdf,false,true,true,true,true,merge_ready,10,0
TSR Inc - AD&D 2nd Edition - Player's Option - Skills & Powers.pdf,false,true,true,true,true,merge_ready,9,0
TSR Inc - AD&D 2nd Edition - Player's Option - Spells & Magic.pdf,false,true,true,true,true,merge_ready,16,4
TSR Inc - AD&D 2nd Edition - Priest Spell Compendium Volume 1.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Priest Spell Compendium Volume 2.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Priest Spell Compendium Volume 2_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Priest Spell Compendium Volume 3.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - The Magic Encyclopedia Volume 1.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - The Magic Encyclopedia Volume 2.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - The Magic Encyclopedia Volume 2_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Tome of Magic.pdf,false,true,true,true,true,merge_ready,8,7
TSR Inc - AD&D 2nd Edition - Wizards Spell Compendium Volume 1.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Wizards Spell Compendium Volume 1_text.pdf,true,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - Wizards Spell Compendium Volume 2.pdf,false,true,true,true,true,merge_ready,0,1
TSR Inc - AD&D 2nd Edition - Wizards Spell Compendium Volume 3.pdf,false,true,true,true,true,merge_ready,3,0
TSR Inc - AD&D 2nd Edition - Wizards Spell Compendium Volume 4.pdf,false,true,true,true,true,merge_ready,0,0
TSR Inc - AD&D 2nd Edition - World Builders Guidebook.pdf,false,true,true,true,true,merge_ready,0,0
